,domain,phylum,class,order,family,genus,species,confidence
33e2cadd9d0b2b4ebeb6261766032e4a,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,,0.9999999756292088
5656d8b980bfee07e29e8fc119850901,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,,0.9999999456051696
7d893311a14a858907d4c8ca21d32dc4,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,,0.9999999961428044
acfe4c003905a7074aeaf385b78ad9e0,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,formicilis,0.9345557227132958
80b20e907aa4fcf2309796bc303d151d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,0.99999983002641
a1b971c01ce0b220275c218adbe717c1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,variabile,0.9238574172087388
d781fa7e866ac295ce9a56bd97912983,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,0.994188140511315
bfbed36e63b69fec4627424163d20118,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,0.9904773705364676
90d32ffe026535b392c0bad850f213c4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,0.9999855143063456
6b350f9f82a39450e0894fe9138ad267,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,0.9997951468708376
e9d3af4175420ffab49c29d1a6bb2030,Bacteria,,,,,,,0.9732577611634454
eb8ef4756ed538fe480d979e740a04d8,Bacteria,,,,,,,0.9987529119915344
84e6f7df01548135d92febfeae9a1ea6,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,,0.9999974346572392
23b560e97aacfd0422ed3f8a1104e7d7,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,,0.9999585663187168
e9f0399c43aff643ceb1480929cf89b2,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,socranskii,0.9999999999874944
726f76e9275bfa07ccb329dda324c58f,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,socranskii,0.9999999999832596
d4c5acaf755ef50d18008aa6c79f60b0,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,,0.99991136233321
1ca133f4d30ab344f11e6624e841d9cd,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema,,0.9990917217448432
e6953e3ef3e20c6b169ef7a759d868df,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,0.9999995698198312
464ff59b632870b5028ed3092b9443ff,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,variabile,0.9198379178024304
eecc4a4317225eb579540e82ab785716,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,0.987557805908542
81026563293d6ed29eec4d7f73eab34d,Bacteria,,,,,,,0.9357827559034804
8be3d398e9e6b768ed1aa713f2981204,Bacteria,,,,,,,0.9694674169605368
1d7e45fd568a577b5a6a8b4a20743211,Bacteria,,,,,,,0.9636333895174928
d46bfd723f625e317606ae28580eba3e,Bacteria,,,,,,,0.9637233072910132
ef571c059fe495366b01e977f7494fbc,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,,0.9920827567281862
4a146c717d33b2f2719e648bd7d22059,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,,0.9999733247511038
